date,time,water_level,sat,BAND1VH,BAND2VV,BAND3ANGL,1,2,3,4,5,6,7,8,9
11.03.22,03:36,0,C,0.001666,0.005059,45.75805,21.526,34.286,21.514,16.209,16.94,31.899,14.384,21.076,25.077
15.03.22,15:41,2,A,0.008452,0.037576,35.6784,18.546,23.713,17.081,13.595,15.36,28.422,11.973,17.163,22.723
16.03.22,03:44,38,B,0.006737,0.02687,34.65801,36.936,34.224,33.257,37.751,35.254,34.954,31.308,36.308,36.067
23.03.22,03:36,15,C,0.007231,0.01215,45.7586,16.526,33.254,33.451,11.818,34.651,34.858,30.557,36.885,19.286
27.03.22,15:41,0,A,0.007656,0.023313,35.67773,17.794,32.661,32.006,13.829,17.577,29.16,11.615,34.121,23.492
28.03.22,03:44,37,B,0.00699,0.023898,34.64978,37.011,33.826,33.458,37.237,34.771,35.42,31.463,36.454,36.096
04.04.22,03:36,36,C,0.010322,0.021845,45.75839,36.466,33.345,32.655,36.686,33.125,36.799,31.281,34.999,36.757
08.04.22,15:41,20,A,0.009431,0.025682,35.6821,35.776,32.782,31.822,35.012,32.835,35.569,31.241,33.79,34.325
09.04.22,03:44,36,B,0.008051,0.024738,34.65168,37.553,33.405,32.542,36.324,33.271,36.512,31.687,34.336,36.678
16.04.22,03:36,1,C,0.006524,0.021196,45.76367,16.641,21.547,14.52,12.42,16.996,30.509,11.172,15.369,21.315
20.04.22,15:41,1,A,0.009329,0.060038,35.68398,18.146,31.64,32.006,16.389,22.163,32.397,24.352,33.9,30.57
21.04.22,03:44,1,B,0.01004,0.054099,34.6529,16.862,24.672,15.753,13.392,17.766,30.329,12.225,16.087,22.409
28.04.22,03:36,27,C,0.006023,0.016214,45.76657,36.141,33.46,33.559,36.925,33.528,35.131,31.673,34.893,35.81
02.05.22,15:41,34,A,0.009843,0.024945,35.67723,35.951,33.369,33.136,36.951,32.079,33.97,31.443,35.017,35.817
03.05.22,03:44,7,B,0.010224,0.044701,34.65485,23.522,33.863,33.816,27.694,32.711,34.784,31.741,35.466,34.5
10.05.22,03:36,0,C,0.000743,0.002381,45.76356,16.987,18.35,14.678,12.956,16.714,27.294,10.728,14.434,18.327
14.05.22,15:41,31,A,0.009025,0.020129,35.68676,36.957,31.979,31.448,38.1,32.182,34.38,31.958,34.763,35.86
15.05.22,03:44,16,B,0.009649,0.028841,34.65545,32.744,32.649,32.27,38.971,32.945,35.227,32.676,35.448,35.319
22.05.22,03:36,3,C,0,0,45.76309,22.596,33.132,33.546,23.495,32.655,34.27,31.032,34.993,32.45
27.05.22,03:44,28,B,0.007295,0.023364,34.65072,35.816,33.066,33.613,36.832,32.931,34.35,31.924,35.673,35.163
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
