Date Time,A1(5),A2(15),A3(25),A4(35),A5(45),A6(55),A7(65),A8(75),A9(85),A10(95),A11(105),A12(115)
1/3/2022 16:30,-0.05,-0.535,-0.798,-2.281,-2.725,-2.725,-2.725,-2.725,-2.706,-2.613,-2.562,-2.409
6/3/2022 10:29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6/3/2022 10:30,6.615,8.448,9.444,8.538,5.4,4.804,5.651,6.116,5.391,6.583,6.911,7.767
6/3/2022 11:00,7.729,8.625,9.497,8.478,5.319,4.725,5.58,6.064,5.3,6.45,6.833,7.705
6/3/2022 11:30,7.671,8.596,9.469,8.446,5.313,4.702,5.544,6.037,5.259,6.412,6.797,7.674
6/3/2022 12:00,7.599,8.584,9.447,8.425,5.3,4.679,5.534,6.02,5.241,6.388,6.773,7.662
6/3/2022 12:30,7.513,8.569,9.425,8.41,5.277,4.676,5.534,6.014,5.224,6.38,6.76,7.649
6/3/2022 13:00,7.467,8.557,9.419,8.395,5.269,4.653,5.527,5.997,5.221,6.364,6.753,7.643
6/3/2022 13:30,7.431,8.539,9.411,8.38,5.266,4.651,5.519,5.988,5.211,6.353,6.753,7.634
6/3/2022 14:00,7.409,8.536,9.394,8.368,5.261,4.644,5.514,5.991,5.211,6.348,6.753,7.625
6/3/2022 14:30,7.378,8.53,9.375,8.351,5.252,4.635,5.506,5.994,5.216,6.343,6.74,7.618
6/3/2022 15:00,7.367,8.524,9.361,8.342,5.241,4.628,5.501,5.985,5.211,6.34,6.727,7.609
6/3/2022 15:30,7.36,8.507,9.353,8.324,5.233,4.635,5.496,5.974,5.203,6.329,6.73,7.603
6/3/2022 16:00,7.36,8.492,9.347,8.327,5.23,4.621,5.489,5.977,5.193,6.324,6.727,7.597
6/3/2022 16:30,7.36,8.498,9.328,8.306,5.239,4.619,5.486,5.971,5.18,6.324,6.717,7.591
6/3/2022 17:00,7.367,8.486,9.322,8.318,5.2,4.619,5.481,5.965,5.185,6.316,6.727,7.581
6/3/2022 17:30,7.374,8.489,9.32,8.306,5.214,4.619,5.479,5.968,5.188,6.305,6.717,7.575
6/3/2022 18:00,7.395,8.48,9.336,8.3,5.205,4.609,5.476,5.965,5.183,6.308,6.713,7.575
6/3/2022 18:30,7.392,8.471,9.303,8.3,5.205,4.598,5.474,5.954,5.18,6.305,6.707,7.563
6/3/2022 19:00,7.395,8.471,9.311,8.286,5.205,4.598,5.471,5.954,5.175,6.3,6.717,7.557
6/3/2022 19:30,7.406,8.465,9.298,8.303,5.194,4.596,5.471,5.948,5.17,6.289,6.71,7.551
6/3/2022 20:00,7.399,8.451,9.306,8.283,5.192,4.589,5.461,5.945,5.168,6.286,6.71,7.545
6/3/2022 20:30,7.399,8.462,9.292,8.283,5.203,4.582,5.451,5.942,5.165,6.292,6.704,7.538
6/3/2022 21:00,7.406,8.454,9.295,8.283,5.186,4.575,5.446,5.936,5.163,6.281,6.7,7.538
6/3/2022 21:30,7.402,8.456,9.289,8.28,5.181,4.577,5.439,5.936,5.155,6.276,6.697,7.529
6/3/2022 22:00,7.399,8.436,9.281,8.271,5.181,4.57,5.436,5.928,5.157,6.27,6.684,7.526
6/3/2022 22:30,7.392,8.436,9.276,8.274,5.178,4.564,5.436,5.925,5.152,6.27,6.684,7.526
6/3/2022 23:00,7.406,8.43,9.267,8.253,5.161,4.573,5.436,5.919,5.152,6.265,6.684,7.511
6/3/2022 23:30,7.392,8.424,9.27,8.253,5.161,4.573,5.429,5.913,5.145,6.27,6.677,7.508
