,,,MEKOROT80535_1,,,,,,,,,,,,
DATE,HOUR,SURFACE_LEVEL,A1(5),A2(15),A3(25),A4(35),A5(45),A6(55),A7(65),A8(75),A9(85),A10(95),A11(105),A12(115),SATELLITE
03.03.22,15:41,14,,,,,,,,,,,,,A
04.03.23,03:44,1,,,,,,,,,,,,,B
11.03.22,03:36,0,16.94,19.901,16.622,11.889,7.471,9.066,10.609,11.306,9.571,12.023,16.315,24.612,C
15.03.22,15:41,2,15.36,19.267,16.665,11.71,7.275,8.749,10.254,10.854,9.161,10.995,12.595,13.741,A
16.03.22,03:44,38,35.254,32.91,27.664,16.483,11.602,14.67,16.668,17.209,15.296,16.915,17.762,19,B
23.03.22,03:36,15,17.557,20.553,18.28,12.613,7.523,8.952,10.839,11.429,9.853,12.016,14.132,16.962,C
27.03.22,15:41,0,17.577,21.21,18.971,13.333,8.327,9.793,11.126,11.696,10.074,12.368,14.838,18.576,A
28.03.22,03:44,37,34.771,33.632,29.821,18.216,12.691,15.697,18.295,25.627,30.608,31.893,31.099,32.037,B
04.04.22,03:36,36,33.125,33.452,30.295,19.843,19.023,31.05,30.043,29.843,30.9,31.816,31.021,32.095,C
08.04.22,15:41,20,32.835,32.684,29.705,18.854,15.428,29.233,30.263,30.08,31.143,31.931,30.903,31.973,A
09.04.22,03:44,36,33.271,33.224,29.853,20.193,19.447,31.341,30.311,29.938,30.945,31.788,30.85,32.025,B
16.04.22,03:36,1,16.996,19.849,17.1,11.98,7.391,9.156,9.974,10.588,9.115,11.054,12.666,13.514,C
20.04.22,15:41,1,22.163,27.312,24.785,16.013,10.873,17.033,26.719,28.858,29.685,30.384,29.592,30.476,A
21.04.22,03:44,1,17.766,20.104,17.132,12.116,7.507,9.3,10.122,10.752,9.269,11.243,12.851,13.83,B
28.04.22,03:36,27,33.528,31.812,28.411,17.49,12.843,19.925,28.034,29.051,30.145,30.947,30.102,31.027,C
02.05.22,15:41,34,32.079,32.036,29.853,19.943,16.443,29.942,30.661,30.585,31.109,32.119,31.211,31.833,A
03.05.22,03:44,7,32.711,32.324,29.507,21.424,20.734,31.373,30.354,29.761,30.485,31.503,30.635,31.374,B
10.05.22,03:36,0,16.714,19.408,16.941,13.242,7.426,8.964,9.697,10.189,8.736,10.611,12.229,13.039,C
14.05.22,15:41,31,32.182,32.415,29.992,21.604,18.304,30.734,30.37,29.885,30.625,31.525,30.674,31.212,A
15.05.22,03:44,16,32.945,32.77,29.937,21.885,19.731,31.502,30.451,29.566,30.323,31.328,30.582,31.16,B
22.05.22,03:36,3,32.655,31.43,28.683,21.667,20.232,30.297,29.744,29.384,30.14,31.203,30.251,31.01,C
27.05.22,03:44,28,32.931,31.775,29.231,19.882,13.12,16.6,17.286,17.637,15.722,17.497,18.194,19.48,B
03.06.22,03:36,29,33.146,31.647,28.879,19.501,12.691,16.264,16.862,17.126,15.132,16.828,17.736,19.107,C
07.06.22,15:41,16,31.123,29.846,27.749,19.238,12.329,16.016,16.775,17.14,15.148,16.692,17.456,18.663,A
08.06.22,03:44,27,32.305,31.24,28.615,19.865,12.777,16.486,17.09,17.469,16.129,25.305,28.56,30.333,B
15.06.22,03:36,26,,,,,,,,,,,,,C
19.06.22,15:41,1,,,,,,,,,,,,,A
20.06.22,03:44,1,,,,,,,,,,,,,B
27.06.22,03:36,1,,,,,,,,,,,,,C
01.07.22,15:41,3,,,,,,,,,,,,,A
02.07.22,03:44,1,,,,,,,,,,,,,B
09.07.22,03:36,3,,,,,,,,,,,,,C
13.07.22,15:41,32,,,,,,,,,,,,,A
14.07.22,03:44,1,,,,,,,,,,,,,B
21.07.22,03:36,1,,,,,,,,,,,,,C
25.07.22,15:41,,,,,,,,,,,,,,A
26.07.22,03:44,,,,,,,,,,,,,,B
