Sat,BAND1VH,BAND2VV,BAND3ANGL,DATE,TIME,Water_level,water_5,water_15,water_25,water_35,water_45,water_55,water_65,water_75,water_85,water_95,water_105,water_115
A,0.008557,0.04365,35.68302,03/03/2022,15:41,11,,,,,,,,,,,,
B,0.007376,0.062591,34.64755,04/03/2022,03:44,1,,,,,,,,,,,,
A,0.008452,0.037576,35.6784,15/03/2022,15:41,2,28.422,31.205,33.363,33.372,29.772,21.689,14.89,12.036,12.115,11.015,14.286,18.308
B,0.006737,0.02687,34.65801,16/03/2022,03:44,38,34.954,32.753,33.971,34.092,32.353,22.675,15.233,12.197,12.123,10.898,14.111,18.132
A,0.007656,0.023313,35.67773,27/03/2022,15:41,0,29.16,30.507,32.737,33.297,31.186,21.698,14.962,12.049,12.108,10.96,14.184,18.222
B,0.00699,0.023898,34.64978,28/03/2022,03:44,36,35.42,32.544,33.209,34.341,33.94,22.713,15.4,12.475,12.545,11.239,14.435,18.421
A,0.009431,0.025682,35.6821,08/04/2022,15:41,20,35.569,33.479,33.157,33.903,34.179,23.355,15.909,12.613,12.462,11.276,14.847,18.826
B,0.008051,0.024738,34.65168,09/04/2022,03:44,36,36.512,33.964,33.213,33.941,34.48,23.681,16.075,12.852,12.752,11.597,15.216,19.193
A,0.009329,0.060038,35.68398,20/04/2022,15:41,0,32.397,30.443,30.647,33.057,33.683,22.615,15.518,12.412,12.513,11.466,14.908,18.507
B,0.01004,0.054099,34.6529,21/04/2022,03:44,1,30.329,30.177,30.987,33.084,33.468,22.365,15.404,12.23,12.268,11.284,14.673,18.375
A,0.009843,0.024945,35.67723,02/05/2022,15:41,34,33.97,31.405,32.705,34.211,34.462,23.34,15.559,12.416,12.636,11.447,18.618,20.77
B,0.010224,0.044701,34.65485,03/05/2022,03:44,7,34.784,31.888,32.598,33.876,33.91,23.157,15.527,12.529,13.042,12.276,21.006,23.234
A,0.009025,0.020129,35.68676,14/05/2022,15:41,31,34.38,31.518,30.946,32.818,34.077,23.435,15.555,12.713,12.941,11.736,19.369,21.048
B,0.009649,0.028841,34.65545,15/05/2022,03:44,16,35.227,32.051,30.892,32.86,33.91,23.411,15.584,12.734,12.981,11.796,19.47,21.144
B,0.007295,0.023364,34.65072,27/05/2022,03:44,28,34.35,31.275,31.469,33.185,34.745,23.562,15.461,12.284,12.147,10.963,18.018,20.083
A,0.010191,0.02391,35.69518,07/06/2022,15:41,16,33.158,31.545,33.031,33.281,34.661,23.738,15.351,12.115,12.139,11.077,18.203,20.168
B,0.01123,0.037601,34.64515,08/06/2022,03:44,27,35.205,32.808,33.162,32.983,34.498,23.771,15.74,12.818,12.961,11.834,19.348,21.125
A,0.009809,0.034968,35.69271,19/06/2022,15:41,0,,,,,,,,,,,,
B,0.009225,0.04658,34.6502,20/06/2022,03:44,1,,,,,,,,,,,,
A,0.010812,0.037059,35.68408,01/07/2022,15:41,3,,,,,,,,,,,,
B,0.009215,0.041668,34.64836,02/07/2022,03:44,1,,,,,,,,,,,,
A,0.0092,0.032239,35.68164,13/07/2022,15:41,32,,,,,,,,,,,,
B,0.009823,0.043105,34.65181,14/07/2022,03:44,0,,,,,,,,,,,,
A,0.009885,0.025993,35.69281,25/07/2022,15:41,,,,,,,,,,,,,
B,0.008947,0.039615,34.64559,26/07/2022,03:44,,,,,,,,,,,,,
